CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
H-300-13094-495292,2013-11-13,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Larson Livestock Inc/Carl Larson,"116 County Road 239, Lyman, WY 82937 (Physical Address)","PO Box 395, Lyman, WY 82937 (Mailing Address)",Lyman,WY,82937,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",12,60,750,Month,Lyman,WY,Association - Filing as Agent (H-2A Only)
H-300-13094-536059,2013-12-06,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,KUNZLER SHEEP & CATTLE CO/BURT KUNZLER,"57840 W 17913 N. Loghouse Lane, Park Valley, UT 84329 (Physical Ad","57840 W 17913 N. Loghouse Lane, Park Valley, UT 84329 (Mailing Add",Park Valley,UT,84329,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",7,60,750,Month,Park Valley,UT,Association - Filing as Agent (H-2A Only)
H-300-13094-572464,2013-11-13,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,J & A Phillips Ranch/John Phillips,"1325 W 535 N, Paul, ID 83347 (Physical Address)","1325 W 535 N, Paul, ID 83347 (Mailing Address)",Paul,ID,83347,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,750,Month,Paul,ID,Association - Filing as Agent (H-2A Only)
H-300-13094-636593,2013-11-25,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,SECREST SHEEP AND CATTLE/MICHAEL G. SECREST,"18126 Hwy 30, Hagerman, ID 83332 (Physical Address)","PO Box 194, Hagerman, ID 83332 (Mailing Address)",Hagerman,ID,83332,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,750,Month,Hagerman,ID,Association - Filing as Agent (H-2A Only)
H-300-13094-873950,2014-01-03,H-2A,2013-12-03,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2015-01-31,2014-02-01,2015-01-31,ARGYLE RANCH INC/BART ARGYLE,"3400 N.S.R. 1600, Randolph, UT 84064 (Physical Address)","PO Box 216, Randolph, UT 84064 (Mailing Address)",Randolph,UT,84064,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",9,60,750,Month,Randolph,UT,Association - Filing as Agent (H-2A Only)
H-300-13094-880530,2013-11-12,H-2A,2013-11-05,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Taft Farms Inc/Andy and Joni Taft,"190 N. 100 E., Bicknell, UT 84715 (Physical Address)","PO Box 12, Bicknell, UT 84715 (Mailing Address)",Bicknell,UT,84715,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,750,Month,Bicknell,UT,Association - Filing as Agent (H-2A Only)
H-300-13094-908723,2013-11-08,H-2A,2013-11-04,DETERMINATION ISSUED - CERTIFICATION,2014-01-01,2014-12-31,2014-01-01,2014-12-31,Ronald J. & Elizabeth D. Moss,"2424 E 2200 N, Hamer, ID 83425 (Physical Address)","2424 E 2200 N, Hamer, ID 83425 (Mailing Address)",Hamer,ID,83425,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,750,Month,Hamer,ID,Association - Filing as Agent (H-2A Only)
H-300-13098-859422,2013-12-17,H-2A,2013-12-03,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-11-30,2014-02-01,2014-11-30,Bauer Land & Livestock /Barry Bauer,"3053 Hwy 14/16 East, Clearmont, WY 82835 (Physical Address)","3053 Hwy 14/16 East, Clearmont, WY 82835 (Mailing Address)",Clearmont,WY,82835,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,875,Month,Clearmont,WY,Association - Filing as Agent (H-2A Only)
H-300-13099-258494,2013-12-17,H-2A,2013-12-03,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-11-30,2014-02-01,2014-11-30,Blazzard Farms/John F. Blazzard,"1196 N 2000 W, Kamas, UT 84036 (Physical Address)","PO Box 65, Kamas, UT 84036 (Mailing Address)",Kamas,UT,84036,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,60,875,Month,Kamas,UT,Association - Filing as Agent (H-2A Only)
H-300-13099-321961,2014-01-07,H-2A,2013-12-10,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2015-01-31,2014-02-01,2015-01-31,JASON DAVENPORT,"1360 Pleasant View Rd,  Wapanucka, OK 73461 (Physical Address)","1360 Pleasant View Rd,  Wapanucka, OK 73461 (Mailing Address)",Wapanucka,OK,73461,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,750,Month,Wapanucka,OK,Association - Filing as Agent (H-2A Only)
